ID	population	condition	GC_pct	Five_Prime_Bias	library_batch	experiment_date	age	Pct_European_Ancestry
EIP@BDOHDOVYOO-1	AFB	NS	49.82	-0.142985750963474	2/11/14 18:08	9/24/13	32	0.016617
EIP@BDOHDOVYOO-3	AFB	PAM3CSK4	47.18	-0.162920648552558	1/22/14 17:19	9/24/13	32	0.016617
EIP@BDOHDOVYOO-4	AFB	R848	48.06	-0.139262148671766	2/6/14 14:18	9/24/13	32	0.016617
EIP@BDOHDOVYOO-5	AFB	IAV	48.46	-0.117292756286906	 	9/24/13	32	0.016617
EIP@PXMIELOPKW-1	AFB	NS	50.2	-0.125121213863092	1/9/14 16:03	10/1/13	43	0.003579
EIP@PXMIELOPKW-2	AFB	LPS	47.59	-0.181605677028893	1/22/14 17:19	10/1/13	43	0.003579
EIP@PXMIELOPKW-3	AFB	PAM3CSK4	48.84	-0.117966636411978	1/9/14 16:03	10/1/13	43	0.003579
EIP@PXMIELOPKW-4	AFB	R848	48.81	-0.108125190738206	1/9/14 16:03	10/1/13	43	0.003579
EIP@PXMIELOPKW-5	AFB	IAV	48.4	-0.126572235383465	1/9/14 16:03	10/1/13	43	0.003579
EIP@JOVIMCWWJW-1	AFB	NS	50.82	-0.104125087932613	2/13/14 9:39	12/10/13	22	1e-05
EIP@JOVIMCWWJW-3	AFB	PAM3CSK4	48.09	-0.128368783903194	2/6/14 14:18	12/10/13	22	1e-05
EIP@JOVIMCWWJW-4	AFB	R848	46.9	-0.144913474959544	2/6/14 14:18	12/10/13	22	1e-05
EIP@JOVIMCWWJW-5	AFB	IAV	47.51	-0.148389910511893	1/22/14 17:19	12/10/13	22	1e-05
EIP@JNZTUYMKZP-1	AFB	NS	49.99	-0.13250788960519	1/9/14 16:03	9/24/13	26	1e-05
EIP@JNZTUYMKZP-2	AFB	LPS	50.36	-0.092612037733274	1/9/14 16:03	9/24/13	26	1e-05
EIP@JNZTUYMKZP-3	AFB	PAM3CSK4	46.26	-0.153336700026523	1/13/14 17:48	9/24/13	26	1e-05
EIP@JNZTUYMKZP-4	AFB	R848	46.76	-0.147870531781478	1/13/14 17:48	9/24/13	26	1e-05
EIP@JNZTUYMKZP-5	AFB	IAV	47.04	-0.146653250186189	1/13/14 17:48	9/24/13	26	1e-05
EIP@ZITGLOBOMO-1	AFB	NS	48.14	-0.148510483610703	1/13/14 17:48	8/6/13	29	1e-05
EIP@ZITGLOBOMO-2	AFB	LPS	49.38	-0.118473801869053	1/9/14 16:03	8/6/13	29	1e-05
EIP@ZITGLOBOMO-3	AFB	PAM3CSK4	50.62	-0.0903140977885618	1/9/14 16:03	8/6/13	29	1e-05
EIP@ZITGLOBOMO-4	AFB	R848	48.2576434372189	-0.134332369686022	1/9/14 16:03	8/6/13	29	1e-05
EIP@ZITGLOBOMO-5	AFB	IAV	47.55	-0.130542660235643	1/13/14 17:48	8/6/13	29	1e-05
EIP@MXEDRXDTPM-1	AFB	NS	50.19	-0.131542277200692	2/6/14 14:18	9/27/13	30	1e-05
EIP@MXEDRXDTPM-3	AFB	PAM3CSK4	46.86	-0.152261470475956	2/6/14 14:20	9/27/13	30	1e-05
EIP@MXEDRXDTPM-4	AFB	R848	47.25	-0.198314744656642	1/22/14 17:19	9/27/13	30	1e-05
EIP@MXEDRXDTPM-5	AFB	IAV	48.55	-0.114144585074936	2/11/14 18:08	9/27/13	30	1e-05
EIP@LVOMJJWNYB-1	AFB	NS	52.05	-0.10927996151356	1/9/14 16:03	10/31/13	33	0.081902
EIP@LVOMJJWNYB-2	AFB	LPS	47.05	-0.15471041420176	1/13/14 17:48	10/31/13	33	0.081902
EIP@LVOMJJWNYB-3	AFB	PAM3CSK4	50.33	-0.0820672897800888	1/9/14 16:03	10/31/13	33	0.081902
EIP@LVOMJJWNYB-4	AFB	R848	47.38	-0.189443297452717	1/22/14 17:19	10/31/13	33	0.081902
EIP@LVOMJJWNYB-5	AFB	IAV	48.5	-0.171005083603468	1/22/14 17:19	10/31/13	33	0.081902
EIP@KMKJVOCBKY-1	AFB	NS	47.49	-0.209356523006077	1/22/14 17:19	10/8/13	23	1e-05
EIP@KMKJVOCBKY-2	AFB	LPS	47.9962694561482	-0.136440051138824	1/13/14 17:48	10/8/13	23	1e-05
EIP@KMKJVOCBKY-3	AFB	PAM3CSK4	46.93	-0.147165649991436	1/13/14 17:48	10/8/13	23	1e-05
EIP@KMKJVOCBKY-4	AFB	R848	46.9	-0.168670985202397	1/13/14 17:48	10/8/13	23	1e-05
EIP@KMKJVOCBKY-5	AFB	IAV	47.45	-0.127798242169744	1/13/14 17:48	10/8/13	23	1e-05
EIP@UZTJBWHUGN-1	AFB	NS	47.98	-0.160778614449639	1/13/14 17:48	10/8/13	27	1e-05
EIP@UZTJBWHUGN-2	AFB	LPS	47.93	-0.13078783267187	1/13/14 17:48	10/8/13	27	1e-05
EIP@UZTJBWHUGN-3	AFB	PAM3CSK4	50.32	-0.074218934724767	1/9/14 16:03	10/8/13	27	1e-05
EIP@UZTJBWHUGN-4	AFB	R848	48.26	-0.116563203074181	1/9/14 16:03	10/8/13	27	1e-05
EIP@UZTJBWHUGN-5	AFB	IAV	46.6822259743688	-0.146413031949648	1/22/14 17:19	10/8/13	27	1e-05
EIP@YGTCHTIDXA-1	AFB	NS	48.89	-0.175584132869142	1/22/14 17:19	10/8/13	27	1e-05
EIP@YGTCHTIDXA-2	AFB	LPS	47.61	-0.149768004576663	1/13/14 17:48	10/8/13	27	1e-05
EIP@YGTCHTIDXA-3	AFB	PAM3CSK4	47.85	-0.134047105385397	1/13/14 17:48	10/8/13	27	1e-05
EIP@YGTCHTIDXA-4	AFB	R848	50.06	-0.0982910144309884	1/9/14 16:03	10/8/13	27	1e-05
EIP@YGTCHTIDXA-5	AFB	IAV	47.09	-0.193074517927118	1/22/14 17:19	10/8/13	27	1e-05
EIP@UDFICXQHVG-1	AFB	NS	48.18	-0.161377266847575	1/13/14 17:48	10/31/13	29	1e-05
EIP@UDFICXQHVG-2	AFB	LPS	50.41	-0.0886077756901439	1/9/14 16:03	10/31/13	29	1e-05
EIP@UDFICXQHVG-3	AFB	PAM3CSK4	49.66	-0.111265631461911	1/9/14 16:03	10/31/13	29	1e-05
EIP@UDFICXQHVG-4	AFB	R848	46.63	-0.146923570663202	1/13/14 17:48	10/31/13	29	1e-05
EIP@UDFICXQHVG-5	AFB	IAV	48.16	-0.128629728655893	1/9/14 16:03	10/31/13	29	1e-05
