condition	featureID	P_perm	E0	V0	obs	a_0	b_0	P_param	FDR
NS	(1.00796e+08,1.00798e+08]	0.97	0.00443441322327633	1.7917487593132e-05	0.0120593776768431	1.08817537036862	244.305141755957	0.939220608255605	0.994120895655551
NS	(1.00798e+08,1.008e+08]	0.16	0.00453712522708279	1.71777796232194e-05	0.00062002391259969	1.18840554607159	260.740786749044	0.0961110181276517	0.405039290680818
NS	(1.008e+08,1.00802e+08]	0.65	0.00447155170536177	1.55740650701947e-05	0.00529724345712319	1.27363836341995	283.557768571391	0.687980536308849	0.97951279247245
NS	(1.00802e+08,1.00804e+08]	0.06	0.00393741218413509	1.34811254650371e-05	0.000287864246788237	1.14152868419933	288.776983987363	0.0523856208216593	0.237750125267531
NS	(1.00804e+08,1.00806e+08]	0.04	0.00356156506852835	1.04940233162856e-05	0.000208680797663618	1.20089241879338	335.980205128751	0.0359155479078681	0.182537403663925
NS	(1.00806e+08,1.00808e+08]	0.48	0.00494104623615225	1.87786583927122e-05	0.00362774749057287	1.28872472070774	259.53148604326	0.486875522066272	0.955821825598158
NS	(1.00808e+08,1.0081e+08]	0.02	0.00248859894905774	9.0225478313553e-06	2.54264402603461e-05	0.682208522200007	273.451364691078	0.0371262515926628	0.182537403663925
NS	(1.0081e+08,1.00812e+08]	0	0.00446160724834646	1.56640116431389e-05	1.43796886369601e-13	1.26067577946869	281.300228687396	6.93504432935504e-14	1.02291903857987e-12
NS	(1.00812e+08,1.00814e+08]	0.5	0.00501032029299571	2.41437438560466e-05	0.00382190644891803	1.0295240902205	204.451169760779	0.529069190370406	0.955821825598158
NS	(1.00814e+08,1.00816e+08]	0.17	0.00403826577713807	1.34725652684383e-05	0.000761487542003171	1.20150320153963	296.327997789141	0.134401605954912	0.512042206701792
NS	(1.00816e+08,1.00818e+08]	0.04	0.00380726577772839	1.04620137291815e-05	0.000271846755036949	1.37643230571949	360.151337510431	0.0315687191397359	0.182537403663925
NS	(1.00818e+08,1.0082e+08]	0.65	0.00299623876489361	1.75310866308672e-05	0.00199445825090319	0.50755672071743	168.890398697382	0.58248103685507	0.955821825598158
NS	(1.0082e+08,1.00822e+08]	0.52	0.00241019218879795	8.24418177960765e-06	0.000842852738954826	0.700512871838559	289.945550580857	0.371795464327087	0.843689707511467
NS	(1.00822e+08,1.00824e+08]	0.75	0.00275252453326693	6.34480799172321e-06	0.00475494324399711	1.18806950083747	430.44096285782	0.829155368290584	0.97951279247245
NS	(1.00824e+08,1.00826e+08]	0.27	0.00338245599060422	9.15895450196751e-06	0.00155441079002107	1.24155328619368	365.81519176606	0.325486500238412	0.795512350114335
NS	(1.00826e+08,1.00828e+08]	0.3	0.00402770567886436	1.17464096278399e-05	0.00166565936250193	1.37146271584999	339.135720578804	0.273825673215156	0.769319748556866
NS	(1.00828e+08,1.0083e+08]	0.53	0.00387301860892553	9.84707152654814e-06	0.00359054670755282	1.5135503866917	389.27992093918	0.572083570769539	0.955821825598158
NS	(1.0083e+08,1.00832e+08]	0.85	0.00373892809300667	1.06995185515336e-05	0.00665301904021636	1.29793783062495	345.843755814841	0.843241814296445	0.97951279247245
NS	(1.00832e+08,1.00834e+08]	0.65	0.0031044102658868	5.68956397717131e-06	0.00404980649009684	1.68550385717809	541.252997441912	0.730490050661473	0.97951279247245
NS	(1.00834e+08,1.00836e+08]	0.64	0.0040345644643986	9.61064387830228e-06	0.00486873143528294	1.68284897327418	415.425115993901	0.693676301922369	0.97951279247245
